"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"TheLittleSongbird","23 November 2010","I am a huge Studio Ghibli/Miyazaki fan, and My Neighbour Totoro is no exception. In fact it is one of my favourites from them. There are so many wonderful things about My Neighbour Totoro. It is very simple in story and character but it is all very beautiful, charming and touching. The animation is typical Ghibli, ethereal-looking and just ravishing to watch, while the music is one of my favourite scores in a Ghibli film. The story is simple, but I loved the simplicity, it had such a pleasant atmosphere to it, and the characters are engaging with great chemistry together. I have very little to complain about the voice acting either, everybody did a fine job. In conclusion, in my opinion this is an animated classic. 10/10 Bethany Cox","
            10/10
            "
"SnoopyStyle","16 October 2016","Professor Tatsuo Kusakabe moves his daughters Satsuki and Mei to an old house in the country near the hospital where his wife Yasuko is convalescencing. The girls find tiny soot sprites scurrying away from the light. Mei discovers forest spirit Totoro sleeping in a giant tree. The girls are waiting for their father at the bus stop. He's late. Mei is falling asleep when Totoro shows up. Satsuki gives him an umbrella and he's overjoyed. He gives the girls a gift of acorns as he boards the cat-bus.It's a gentle story with cute characters and an adorable spirit from legendary animator Hayao Miyazaki. The drama isn't that heightened but it's a great coming-of-age story nonetheless. Totoro discovering the fun of raindrops on the umbrella is pure joy. There is simply an endearing gentleness that extend even to the closing credits animation.","
            8/10
            "
"Galina_movie_fan","15 October 2007","I absolutely agree with Roger Ebert who called ""My Neighbor Totoro"", ""One of the most beloved of all family films"". Its colorfully bright and sparkling animation is enchanting. It is incredibly realistic and at the same time makes us along with two main characters, the young sisters ready for a miracle to happen any minute. The gentle story is touching, uplifting, funny, and tender without being overly sentimental or didactic. The film takes place in the early 50s, when 10-year-old Satsuki and her baby sister, curious and energetic 4-year-old Mei spend one summer in an old house in the country side with their University professor father while their mother recovers from a serious illness in the nearby hospital. The great master Hayao Miyazaki remembers well what it is like to be a child, to see magic in the everyday life and be always ready to encounter it. This ability usually disappears as the child becomes adult but it stays forever in a few chosen, and they become the visionary Artists - just like Miyazaki himself. The film is partially autobiographical for the writer/director/storyboard artist. ""When Miyazaki and his brothers were children, his mother suffered from spinal tuberculosis for nine years, and spent much of her time hospitalized. It is implied, yet never revealed in the film, that Satsuki and Mei's mother also suffers from tuberculosis. He once said the film would have been too painful for him to make if the two protagonists were boys instead of girls."" (From the IMDb film trivia)Totoro of the title is an adorable funny blue forest spirit who lives in the nest beneath a huge tree and makes the trees grow and the winds blow. Totoro becomes the friend and protector of the sisters and one day he sends them on the bus journey that is like nothing they and the viewers could ever imagine. I wish I could ride that cat bus. What a wild and kind imagination an artist should have to create it. How much happier we all are knowing that Hayao Miyazaki exists and makes his amazing films at the Studio Ghibli for which King Totoro is the mascot.","
            10/10
            "
"planktonrules","24 June 2005","Although so many reviews have been written here for the movie, I am including one because there are now 3 different video versions of this movie and all three are certainly worth watching.Originally in the United States, 20th Century Fox released the movie on video in the early 90s. This is the version I first saw. Then, a few years later, Studio Ghibli (who made this film in Japan) signed a deal for exclusivity with Disney. This has resulted in a more widespread release of their pictures but has also recently resulted in a new dubbed version of the movie. The Disney version has, perhaps, more realistic voices--as the children sound more like kids. However, I prefer the original voices--particularly the voice for Mei. I think it's the same lady who does the voice of Angelica on Rugrats.Finally, there is the original Japanese version that is subtitled into English. I am a bit compulsive and actually have seen all three versions! I think the subtitled is best because there are also a few tiny scenes that are in neither dubbed versions (not enough to change the story, but still I prefer a complete film). Of the dubbed, my loyalty is to the Fox version--it just sounds more charming and cute.Now about the movie itself, the animation is about the best you'll find anywhere--particularly the gorgeous backgrounds. They seem to yell out ""QUALITY PRODUCTION"" throughout. The story, though very simple, is very captivating and the emotional response the film triggers is amazing. Anyone (except a total curmudgeon) will love this charming and simple film. See the movie, as it's about as good an animated film as you can find--regardless of where it was made.","
            10/10
            "
"Spectravideo","1 January 2005","There is no compulsory villain in this wonderfully animated film, no moral lessons, no standard blue print story, and the characters will definitely not break out in a song. Thank God! It's simply a great film for all ages. Don't mind if the soundtrack isn't dubbed to your native language, my kids (4 and 6 years old) could easily follow the story with just a few helpers. Japanese is a wonderful language. The film has great direction, beautiful backgrounds and a mystical, pleasant aura throughout. There's nothing like this, I promise you. It's idyllic, for the most part, but still with an exciting story that unfolds into something very unexpected.","
            10/10
            "
"ghostofdaniel","18 August 2004","My favorite Miyazaki's movie is ""Princess Mononoke"" on a graphical scale. But on a ""charming scale"", this one is really the best.Even the Disney movies are not so charming than this movie. Poetic, charming, cute, I can't find the words to describe the good this movie made to me. Miyazaki brings us into the wonderlands of the children, better than ""Alice in wonderland"" or ""Peter pan"".In fact, Miyazaki makes us loving children. In the movie, the children run, shout all time, laugh, cry, and so on. In the real world, I hate this. In normal movies I hate this too. But, here, every actions of the two little girls touch us deep in our heart. We learn to love children's world.Every one of us will have a smile on this face, from the beginning to the end of this movie.My favorite scene is the first encounter between Mei and Totoro. It's fun, poetic, and charming. Miyazaki succeeds to make a movie enjoyable for the very little kids (4 y.o.) and for the adult audience. It's very rare to succeed doing that !Really, a masterpiece !10/10 !","
            10/10
            "
"burgan6203","29 September 2004","I first saw ""My Neighbor Totoro"" when I was maybe seven.At the time, I thought that it was really boring(that was still when I liked Disney movies). Years later, when I discovered ""Princess Mononoke"" I learned that MNT was by the same director and watched it again. And I find that I appreciate this film a whole lot more now then I did when I was seven.The animation is absolutely stunning(as with all Miyazaki films)and the story is deceptively simple, told with patient, subtle attention to detail. The best example IMO is the scene where Mei falls asleep on Totoro's stomach.It's fruitless to try and describe it;you have to see it for yourself.In closing, I would just like to say that I can't wait for a decent DVD to arrive so I can view this quiet masterpiece in widescreen in Japanese with subtitles.","
            10/10
            "
"Kirpianuscus","20 June 2017","at the first sigh - the film of a single character. a girl. and a Totoro. in a station. this is all. the rain. and the silence. and nothing more. because all is well known and the magic works in perfect manner. and this did this animation entrance in deep yourself . because its simplicity, its touching story, its science to say basic things in happy manner are more than virtues. it is a precious gift. for remember yourself.","
            8/10
            "
"Xstal","1 November 2020","A phenomenally, enchantingly crafted piece of animation that will restore your faith in just about anything. Take a look at a world through the eyes of two young girls, Satsuki and Mei who are both desperately missing their hospitalised mother and coming to terms with it in their own unique way and, with a bit of help, from some interesting friends they find in their neighbourhood. As honest as the day is long, there's something in here for everyone if you can find a way to open your mind to it.","
            7/10
            "
"WeAreLive","4 April 2020","Two young girls, 10-year-old Satsuki and her 4-year-old sister Mei, move into a house in the country with their father to be closer to their hospitalized mother. Satsuki and Mei discover that the nearby forest is inhabited by magical creatures called Totoros (pronounced toe-toe-ro). They soon befriend these Totoros, and have several magical adventures.Like I said in the title even though I do find it a bit more childish compared to the other films I thought it was a fun watch especially with how cute totoro plus as i am quirented I have been watch quite a few studio ghibli films on Netflix. So expect reviews for those.The dub was also good, it was nice seeing Tim Daly (the voice of Superman) in an anime dub.Overall if you are looking for something for your kids to enjoy I highly recommend this film.Edit 10/11/20i saw the old dub today and it was fairly decent as well.","
            10/10
            "
